"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",10.2623669256814,5.52335342000687,1.85799570393391,0.0635322707042415
"Foundation_Stone",0.267191768686736,0.0755101379336588,3.53848868507542,0.000425339051816681
"SaleCondition_Partial",0.223187719946809,0.079399206784902,2.81095654458413,0.00505868708882749
"BldgType_2fmCon",0.157958116759264,0.0647474141743994,2.43960502165845,0.0149168982286182
"Neighborhood_Crawfor",0.155187038377876,0.0247407756331266,6.27252114804716,0.00000000057773884596315
"Neighborhood_StoneBr",0.153501544772065,0.0324044183449799,4.73705601309907,0.00000256011511590302
"Heating_Wall",0.146630312428368,0.072187768431656,2.03123487003468,0.0425572291675766
"HouseStyle_2.5Fin",0.129020659368464,0.0725424021428752,1.77855510097877,0.0756877340475705
"HouseStyle_2.5Unf",0.126235864402349,0.0540510373149502,2.33549383459164,0.0197608904942181
"Neighborhood_ClearCr",0.125634508778108,0.033021772768079,3.80459612693944,0.000152726201426031
"Exterior1st_MetalSd",0.115997985358421,0.0701715062869394,1.65306392147393,0.098705354451417
"FunctionalB",0.108849030449953,0.0464070493764207,2.34552792975583,0.0192405323464444
"SaleType_CWD",0.0928807785168086,0.0531324364334788,1.74809936738162,0.0808256869848945
"Heating_GasW",0.0881823870559955,0.04263416665364,2.06835019838406,0.0389239665018781
"IsRemodeledRecently",0.0872303988685627,0.0294522545889464,2.9617562419585,0.00314830891190625
"Exterior1st_BrkFace",0.085323621279421,0.0463103101118169,1.84243251823203,0.0657772236940169
"HouseStyle_SLvl",0.0788491197936994,0.032364715030846,2.43626800725884,0.0150541972673828
"Neighborhood_Veenker",0.0764309027148707,0.0400363139750174,1.90903944760158,0.056610115161381
"Neighborhood_NridgHt",0.0743030033656913,0.0269498288983647,2.75708627486685,0.0059631241435708
"HouseStyle_2Story",0.0700031413568964,0.0304006065139488,2.30268897183932,0.0215489984544692
"Neighborhood_NoRidge",0.0679452579779928,0.0288272133061906,2.35698321777782,0.0186611751080272
"HouseStyle_1.5Fin",0.0676896030502547,0.0231812326894211,2.92001741051266,0.00359722621275507
"HouseStyle_SFoyer",0.0587169872808337,0.0344990882515426,1.7019866395515,0.0891415909407603
"LandContour_HLS",0.0580985305032166,0.0341669516779467,1.70043061057498,0.0894338185060531
"MSZoning_FV",0.0569550710545221,0.0321769416276798,1.77005856285382,0.077093516941048
"Neighborhood_BrkSide",0.051060243762119,0.026026841057084,1.96183023710522,0.0501243449464711
"Functional",0.0507570368591087,0.00858595509328859,5.91163549163961,0.00000000498953790473404
"OverallQual",0.0424109924929176,0.00531452892757458,7.98019788223695,0.00000000000000498503302914168
"OverallCond",0.0391415138359653,0.00465864658615235,8.40190667227517,0.000000000000000196018062493997
"LotConfig_CulDSac",0.0346518972349662,0.0155306988231975,2.23118725238611,0.0259417060094193
"GarageCars",0.0217457679875603,0.0115277716282624,1.88638087991322,0.059601135264145
"KitchenQual",0.0204656512438153,0.00668646056593383,3.06076003021444,0.00228062239063114
"BsmtFullBath",0.019879982223212,0.010562273086649,1.88216892899133,0.0601713595004109
"HeatingQC",0.00928504685243476,0.00536682003671256,1.73008351107713,0.0839962615523554
"YearBuilt",0.00223037883130551,0.000427854221719719,5.21294103945198,0.000000236100636930929
"YearRemodAdd",0.000610437429707924,0.00029913341457399,2.04068619541309,0.0416057791365001
"X1stFlrSF",0.000270219548751711,0.0000522604449676536,5.17063237634051,0.000000294186371234425
"X3SsnPorch",0.000267074990284495,0.000132239035786024,2.01963806448686,0.0437497881869517
"ScreenPorch",0.00024599034024659,0.0000663869043705636,3.705404591145,0.000225395879602021
"PoolArea",0.000210099110904646,0.0000933058046272501,2.25172605009921,0.0246067627714765
"X2ndFlrSF",0.000195440704098512,0.0000495193175168789,3.94675681933409,0.0000860953198217888
"OpenPorchSF",0.000164340138491775,0.0000599578680894007,2.74092698303972,0.00626156631985689
"BsmtFinSF1",0.00013796282604601,0.0000375194427475704,3.67710221535591,0.00025146257366908
"EnclosedPorch",0.000130139344378147,0.0000658672397633749,1.97578257181668,0.0485184096660223
"GarageArea",0.000114089788763711,0.0000400405537772825,2.84935591546293,0.00449190213206273
"WoodDeckSF",0.000101815605065445,0.0000302230912286816,3.36880183086044,0.000790626185779753
"BsmtFinSF2",0.0000785383347865273,0.0000466938923189356,1.68198303645545,0.0929575674751559
"BsmtUnfSF",0.000071628311286871,0.0000369224475309247,1.9399664994277,0.0527305519276784
"LotArea",0.00000475571332326206,0.00000122354483595301,3.88683208291086,0.000109867915930207
"MSSubClass",-0.000935219583815674,0.000437154520656892,-2.13933412471719,0.0327069398627499
"Condition1_Feedr",-0.0348258748137535,0.0164879892304812,-2.11219660123087,0.0349751317567343
"Neighborhood_Edwards",-0.0426359083542864,0.0182361055217207,-2.3379941678613,0.0196300870028952
"Neighborhood_OldTown",-0.044933199167358,0.0264603972768899,-1.69813017911874,0.0898672629107696
"KitchenAbvGr",-0.0572935655733725,0.0297317680930292,-1.92701508346574,0.0543272355339352
"Condition1_Artery",-0.0722363703558376,0.0206949530206353,-3.49053077259027,0.000508119930225047
"SaleCondition_Abnorml",-0.0760422652836484,0.0146253722585951,-5.19933878872447,0.000000253444386024032
"CentralAir_N",-0.080458090255595,0.0204846202757082,-3.92773159437116,0.0000930571623661056
"GarageType_2Types",-0.0930878169745659,0.0536974988009975,-1.73355964529276,0.0833767721162689
"Exterior2nd_Stucco",-0.119060273091036,0.0624409956109021,-1.90676448903784,0.0569046532028516
"Condition1_RRAe",-0.121328057487843,0.0460084058847002,-2.63708457519476,0.00852244765793039
"Neighborhood_MeadowV",-0.127688098511094,0.0441059840412262,-2.89502890110654,0.00389315834017003
"Condition2_Feedr",-0.129379092623097,0.064919600456313,-1.99291264446647,0.0466061246737934
"Heating_Grav",-0.166456026653355,0.0571562887945736,-2.91229591990512,0.00368640466194842
"Exterior1st_BrkComm",-0.231275306726111,0.125662499249635,-1.84044808998006,0.0660681254192275
"Foundation_Wood",-0.235525260162917,0.0804141546364575,-2.92890301748116,0.00349703856042947
"`MSZoning_C (all)`",-0.583297960230601,0.0582580118727548,-10.0123217645089,0.000000000000000000000250843350232009
"Condition2_PosN",-1.13151679899692,0.150539484693079,-7.51641206494011,0.000000000000149266756782938
"RoofMatl_ClyTile",-1.62362677154641,0.232457934701473,-6.98460464957458,0.00000000000595919506918096
